gene,mean_tumor,mean_normal,log2fc,t_stat,pvalue,pvalue_adj,neg_log10_padj,cohens_d,significant,direction
GTF2H2C,8.464064080079822,1.2762836264308026,7.18778045364902,203.64068339481108,0.0,0.0,300.0,12.944512942358331,True,up
ESRP1,11.171146301158005,3.9833707452435236,7.187775555914482,138.62186139483944,0.0,0.0,300.0,8.241866809046483,True,up
CPD,12.43488795830883,5.247140295855308,7.187747662453521,141.71172251163412,0.0,0.0,300.0,8.978402228302686,True,up
SRD5A3,10.28511372346294,3.109461075953863,7.175652647509077,131.3524211061587,0.0,0.0,300.0,8.247966310833503,True,up
FOXM1,9.28559876888965,2.110783299099062,7.174815469790589,97.57180876626246,0.0,0.0,300.0,6.058673056130134,True,up
KIF4A,8.098401203909537,0.9293939969877052,7.169007206921832,98.24872626984725,0.0,0.0,300.0,6.238989337479028,True,up
ARHGAP5,10.932757589877456,3.7660886408306613,7.1666689490467945,210.39057847924025,0.0,0.0,300.0,12.823075558223396,True,up
SIX4,8.308905889837927,1.1426640591671993,7.166241830670728,129.44499045687158,0.0,0.0,300.0,7.951379536973455,True,up
VANGL1,9.330515981086126,2.1657529580681403,7.164763023017986,180.43608453264739,0.0,0.0,300.0,10.813638490578596,True,up
PFKP,11.301195591358356,4.137305719975502,7.163889871382854,124.27554223447144,0.0,0.0,300.0,7.866983829627076,True,up
BZW1,12.272560239486758,5.114080058281754,7.158480181205004,229.47713788859204,0.0,0.0,300.0,14.318209543668893,True,up
ABCC3,11.815007828948213,4.658354106021032,7.156653722927181,101.68155122814656,0.0,0.0,300.0,6.486052054480357,True,up
SORD,9.111645238456592,1.958542319743746,7.153102918712847,173.41459647697616,0.0,0.0,300.0,10.879384713268639,True,up
SOX4,12.061493686242788,4.916270836815651,7.145222849427136,147.73412739253502,0.0,0.0,300.0,8.903979767641474,True,up
IGSF3,10.233701915670604,3.0906804019783563,7.143021513692248,140.13857618431695,0.0,0.0,300.0,8.536835585621947,True,up
CDCA7,8.483406503294699,1.3416641227198496,7.141742380574849,102.0807162984279,0.0,0.0,300.0,6.491370563947565,True,up
MRPS27,10.15630285992435,3.0160488124494456,7.1402540474749046,251.20557216162186,0.0,0.0,300.0,15.41505520851404,True,up
SHROOM3,10.675498553609625,3.537375082757002,7.138123470852623,146.93590297367763,0.0,0.0,300.0,9.138013644856303,True,up
ST14,12.528368260550835,5.395708061286468,7.132660199264366,149.8657588250995,0.0,0.0,300.0,9.058107357913535,True,up
MGST1,12.344333750672059,5.21261732559312,7.131716425078938,105.60266642518725,0.0,0.0,300.0,6.36889830611779,True,up
MTHFD1,10.418796107031227,3.2903902215982197,7.128405885433008,231.65369793275534,0.0,0.0,300.0,14.220830573685715,True,up
LRPPRC,11.573050889053864,4.446038512900988,7.127012376152876,266.3637122280352,0.0,0.0,300.0,16.460762237265424,True,up
ANKRD22,8.511080968049354,1.3855115847020865,7.125569383347267,87.27591128308171,0.0,0.0,300.0,5.497189893963057,True,up
CEP250,9.715074854510258,2.5931878533440784,7.121887001166179,184.99685208901562,0.0,0.0,300.0,11.622477935534581,True,up
