gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens,degree,weighted_degree,betweenness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,tumor_mean,tumor_std,normal_mean,normal_std,abs_log2fc_rank,neg_log10_padj_rank
AKR1C3,0.9711,80,99.28,1,1,True,4.367573,0.0,166.533253,up,True,10.027955,5.660382,False,False,False,16,11.053309,1e-06,0.0,0.540931,1,0.690832,10.027955,2.412925,5.660382,0.772382,0.49381,0.179865
ADAMTS1,0.970667,81,99.27,1,1,True,1.849222,0.0,131.703027,ns,False,9.251976,7.402754,False,False,False,7,4.331832,0.000398,4e-05,0.255137,1,0.618833,9.251976,1.177637,7.402754,0.906149,0.103313,0.142454
TMSB15A,0.9706,82,99.26,1,1,True,-0.402899,1e-06,5.873525,ns,False,2.838929,3.241828,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,2.838929,1.409389,3.241828,1.326882,0.015838,0.014109
GSTA1,0.970467,83,99.25,1,1,True,4.193234,0.0,112.271248,up,True,6.951074,2.75784,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.951074,3.052088,2.75784,1.930349,0.449572,0.121245
SPOCK1,0.970367,84,99.24,1,1,True,4.588534,0.0,200.468751,up,True,6.726611,2.138077,False,False,False,37,23.919323,0.0,4.4e-05,0.606671,1,0.646468,6.726611,2.184271,2.138077,1.061173,0.552977,0.216275
MKI67,0.970267,85,99.24,1,1,True,8.497283,0.0,300.0,up,True,10.229026,1.731743,False,False,False,171,124.839843,0.000299,0.000114,0.58176,1,0.730058,10.229026,1.337619,1.731743,0.877134,0.996996,0.666394
EDN1,0.969733,86,99.23,1,1,True,2.694641,0.0,168.137076,up,True,8.47215,5.777509,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.47215,1.397498,5.777509,1.234149,0.181504,0.180958
SCGB3A2,0.9694,87,99.22,1,1,True,2.981515,0.0,53.420011,up,True,9.914311,6.932796,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.914311,3.51938,6.932796,2.077261,0.216275,0.065629
IGFBP2,0.969333,88,99.21,1,1,True,4.513162,0.0,220.742515,up,True,10.849384,6.336221,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,10.849384,1.957841,6.336221,0.897965,0.532132,0.236392
SAA2,0.9693,89,99.2,1,1,True,2.980577,0.0,79.967063,up,True,5.567395,2.586818,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,5.567395,2.638655,2.586818,1.905649,0.216002,0.09057
FGFR3,0.969233,90,99.19,1,1,True,4.376779,0.0,199.822072,up,True,8.403648,4.026868,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.403648,2.067228,4.026868,0.824933,0.49645,0.215638
MMP7,0.9691,91,99.18,1,1,True,6.688889,0.0,283.286191,up,True,9.622822,2.933933,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.622822,2.330548,2.933933,1.452739,0.962771,0.312944
PEG10,0.968733,92,99.17,1,1,True,5.419003,0.0,213.032108,up,True,9.556378,4.137375,False,False,False,1,0.732941,0.0,0.0,0.0,0,0.732941,9.556378,2.443576,4.137375,1.213518,0.779447,0.228382
MYBL2,0.968467,93,99.16,1,0,False,7.393345,0.0,300.0,up,True,9.342192,1.948847,False,True,True,207,155.109573,0.00012,0.000142,0.564034,1,0.749322,9.342192,1.707891,1.948847,0.985766,0.989077,0.666394
